team,team_id,player_id,player_name,position,known_name,first_name,last_name,shirtNumber,played_time,appearances,played_games,starts,sub_on,sub_off,offsides,dribbles_successful,dribbles_unsuccessful,keypasses,assists,assists_intentional,assists_second_goal,through_balls,goals_conceded,goals_conceded_penalty,goals_conceded_outside_box,goals_conceded_inside_box,goals,goals_from_inside_box,goals_from_outside_box,goals_right_foot,goals_left_foot,goals_headed,goals_penalty,penalty_taken,shots_total,shots_on_target_include_goals,shots_off_target_include_woodwork,shots_hit_woodwork,shots_blocked,shots_attempts_from_set_pieces,passes_total,passes_total_exc_crosses_and_corners_succesful,passes_total_exc_crosses_and_corners_unsuccesful,passes_open_play,passes_open_play_successful,passes_backward,passes_forward,passes_leftside,passes_rightside,passes_short_successful,passes_short_unsuccessful,passes_long_successful,passes_long_unsuccessful,passes_own_half_successful,passes_own_half_unsuccessful,passes_opposition_half_successful,passes_opposition_half_unsuccessful,crosses_open_play_successful,crosses_open_play_unsuccessful,crosses_and_corners_unsuccessful,crosses_and_corners_successful,corners_won,corners_taken_include_short_corners,corners_into_box_successful,corners_into_box_unsuccessful,duels_total,duels_won,duels_lost,duels_ground_total,duels_ground_won,duels_ground_lost,duels_aerial_total,duels_aerial_won,duels_aerial_lost,tackles_total,tackles_won,tackles_lost,tackles_last_man,clearances,interceptions,recoveries,blocks
Osasuna,450,130026,Rubén García,Midfielder,Rubén García,Rubén,García,14,2196,30,30,25,5,14,7,30,17,47,2,2,,1,38,5,5,33,8,7,1,1,4,3,1,1,44,20,24,3,12,9,869,655,214,820,613,145,266,215,243,605,174,50,40,185,59,508,262,9,52,107,38,23,83,26,39,324,137,187,231,110,121,93,27,66,55,30,25,,17,11,131,5
Osasuna,450,163711,Unai García,Defender,Unai García,Unai,García,4,536,8,8,6,2,1,,3,1,1,,,,,11,,1,10,1,1,,,,1,,,2,1,1,,,,193,139,54,175,126,21,86,61,25,118,28,21,26,87,13,52,44,,3,3,,,,,,63,37,26,24,15,9,39,22,17,9,6,3,,28,8,31,9
Osasuna,450,89399,Aridane Hernández,Defender,,Aridane,Hernández,23,2610,29,29,29,,,,3,1,3,,,,,36,4,4,32,3,3,,,,3,,,12,3,9,1,,,986,752,234,953,727,97,396,264,229,658,119,94,115,549,93,204,141,1,,,1,,,,,214,143,71,72,47,25,142,96,46,35,23,12,,135,34,144,15
Osasuna,450,138039,Sergio Herrera,Goalkeeper,,Sergio,Herrera,1,1655,19,19,18,1,,,3,,1,,,,,27,1,3,24,,,,,,,,,,,,,,,536,215,321,229,103,,479,34,23,54,2,161,319,92,38,123,283,,,,,,,,,17,14,3,12,9,3,5,5,,1,1,,1,18,1,199,
Osasuna,450,168390,Robert Ibáñez,Midfielder,,Robert,Ibáñez,17,533,14,14,5,9,5,1,15,7,4,,,,,9,1,1,8,1,1,,,1,,,,6,1,5,,2,,158,128,30,157,127,36,39,54,29,127,28,1,2,40,7,89,28,1,5,5,1,3,,,,105,52,53,94,48,46,11,4,7,13,8,5,,3,5,22,
Osasuna,450,221306,Antonio Latorre,Defender,Toni Lato,Antonio,Latorre,15,473,8,8,6,2,4,,3,2,4,,,,,8,,1,7,1,1,,,1,,,,4,2,2,,,,176,119,57,173,116,38,76,8,54,110,34,9,23,52,16,68,53,1,12,12,1,1,,,,74,39,35,43,28,15,31,11,20,22,15,7,,10,8,28,1
Osasuna,450,39498,Adrián López,Forward,,Adrián,López,22,1453,26,26,17,9,17,6,22,21,26,,,1,,21,1,4,17,2,1,1,2,,,1,1,15,8,7,,3,,485,347,138,470,332,125,129,90,141,339,133,8,5,86,24,264,127,3,13,13,3,12,,,,217,77,140,104,35,69,113,42,71,7,5,2,,8,4,36,2
Osasuna,450,463057,Javier Martínez,Midfielder,Javi Martínez,Javier,Martínez,33,10,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,1,6,5,2,1,,3,5,1,,,1,,4,1,,,,,,,,,2,1,1,,,,2,1,1,,,,,1,,,
Osasuna,450,71679,Rubén Martínez,Goalkeeper,,Rubén,Martínez,13,1583,19,19,18,1,1,,2,,,,,,,24,3,3,21,,,,,,,,,,,,,,,457,208,249,203,105,,410,28,19,67,1,141,248,109,27,99,222,,,,,,,,,11,10,1,4,4,,7,6,1,1,1,,,14,,140,
Osasuna,450,477463,Jon Moncayola,Midfielder,,Jon,Moncayola,27,1491,27,27,15,12,5,,10,1,11,,,,,22,3,3,19,1,1,,1,,,,,10,4,6,,3,,626,473,153,614,461,70,176,226,154,416,92,57,61,272,50,202,111,1,8,8,1,1,,,,183,90,93,134,68,66,49,22,27,52,30,22,,20,16,117,5
