team,team_id,player_id,player_name,position,known_name,first_name,last_name,shirtNumber,played_time,appearances,played_games,starts,sub_on,sub_off,offsides,dribbles_successful,dribbles_unsuccessful,keypasses,assists,assists_intentional,assists_second_goal,through_balls,goals_conceded,goals_conceded_penalty,goals_conceded_outside_box,goals_conceded_inside_box,goals,goals_from_inside_box,goals_from_outside_box,goals_right_foot,goals_left_foot,goals_headed,goals_penalty,penalty_taken,shots_total,shots_on_target_include_goals,shots_off_target_include_woodwork,shots_hit_woodwork,shots_blocked,shots_attempts_from_set_pieces,passes_total,passes_total_exc_crosses_and_corners_succesful,passes_total_exc_crosses_and_corners_unsuccesful,passes_open_play,passes_open_play_successful,passes_backward,passes_forward,passes_leftside,passes_rightside,passes_short_successful,passes_short_unsuccessful,passes_long_successful,passes_long_unsuccessful,passes_own_half_successful,passes_own_half_unsuccessful,passes_opposition_half_successful,passes_opposition_half_unsuccessful,crosses_open_play_successful,crosses_open_play_unsuccessful,crosses_and_corners_unsuccessful,crosses_and_corners_successful,corners_won,corners_taken_include_short_corners,corners_into_box_successful,corners_into_box_unsuccessful,duels_total,duels_won,duels_lost,duels_ground_total,duels_ground_won,duels_ground_lost,duels_aerial_total,duels_aerial_won,duels_aerial_lost,tackles_total,tackles_won,tackles_lost,tackles_last_man,clearances,interceptions,recoveries,blocks
Granada CF,5683,223764,Mario Rodríguez,Midfielder,,Mario,Rodríguez,31,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,2,,,,,,,,,,,1,
Granada CF,5683,17926,Roberto Soldado,Forward,,Roberto,Soldado,9,2362,33,33,30,3,17,20,11,19,24,4,3,,2,33,4,8,25,7,5,2,4,1,2,1,1,26,14,12,,7,2,536,375,161,473,313,184,114,137,101,361,145,14,16,130,17,247,157,2,13,13,2,12,,,,288,115,173,158,68,90,130,47,83,16,9,7,,16,4,53,4
Granada CF,5683,87661,Germán Sánchez,Defender,,Germán,Sánchez,6,2295,28,28,26,2,3,,1,,5,,,,,30,2,8,22,2,2,,,,2,,,9,4,5,,1,,948,742,206,900,704,114,351,195,288,653,100,89,106,602,64,140,142,,,,,2,,,,225,121,104,72,34,38,153,87,66,16,10,6,,112,33,105,23
Granada CF,5683,93338,Álvaro Vadillo,Midfielder,,Álvaro,Vadillo,7,1222,22,22,15,7,12,9,19,19,20,1,1,1,,17,1,5,12,3,2,1,3,,,1,1,12,5,7,,5,12,355,262,93,329,240,97,107,57,94,258,79,4,14,58,12,233,145,7,33,64,29,15,49,15,22,143,61,82,106,54,52,37,7,30,16,11,5,,1,7,47,
Granada CF,5683,178876,Jesús Vallejo,Defender,,Jesús,Vallejo,20,627,11,11,7,4,1,1,2,,,,,,,6,1,2,4,,,,,,,,,,,,,1,,234,174,60,219,163,6,100,60,68,146,24,28,36,127,21,47,40,,1,1,,2,,,,35,17,18,15,9,6,20,8,12,6,5,1,,28,5,25,4
Granada CF,5683,93335,Federico Vico Villegas,Midfielder,Fede Vico,Federico,Vico Villegas,14,879,18,18,11,7,10,1,13,10,18,1,1,,1,14,1,3,11,2,1,1,,2,,1,1,9,3,6,,9,3,303,225,78,283,211,77,87,81,58,212,63,13,15,57,16,178,86,4,12,24,10,6,21,5,10,94,42,52,75,34,41,19,8,11,5,1,4,,2,5,49,1
Levante,855,55268,Jorge Andújar Moreno,Defender,Coke,Jorge,Andújar Moreno,23,987,17,17,11,6,5,1,16,10,7,,,,,16,,,16,1,1,,1,,,,,7,3,4,,2,,464,366,98,458,360,73,184,186,21,322,68,44,30,215,41,152,81,1,24,24,1,7,,,,128,69,59,95,51,44,33,18,15,25,17,8,1,18,13,63,2
Levante,855,196739,Enis Bardhi,Midfielder,,Enis,Bardhi,10,2114,30,30,23,7,7,4,37,20,30,2,1,,2,34,2,4,30,7,6,1,6,1,,,,39,19,20,1,19,11,788,606,182,759,579,168,260,146,214,570,151,36,31,235,51,384,183,6,27,52,13,18,35,6,18,252,111,141,219,105,114,33,6,27,24,11,13,,16,15,118,4
Levante,855,494571,Alejandro Blesa,Midfielder,Álex Blesa,Alejandro,Blesa,42,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,5,3,2,2,1,,3,1,,1,1,,2,2,,,,,,,,,3,,3,2,,2,1,,1,,,,,,,2,
Levante,855,169586,Erick Cabaco,Defender,,Erick,Cabaco,18,1075,15,15,12,3,3,,4,1,2,,,,,12,1,2,10,,,,,,,,,3,,3,,2,,485,353,132,451,326,15,246,147,77,285,53,68,79,228,43,125,94,,5,5,,3,,,,100,58,42,45,27,18,55,31,24,15,11,4,,60,15,61,8
Levante,855,88952,José Campaña,Midfielder,,José,Campaña,24,3159,37,37,35,2,4,2,63,27,66,7,5,1,7,46,2,4,42,2,1,1,2,,,,,30,8,22,1,14,5,1951,1589,362,1859,1509,288,671,391,601,1486,297,103,65,694,105,937,387,12,51,130,42,22,117,27,64,365,201,164,282,157,125,83,44,39,38,25,13,1,37,44,225,5
Levante,855,108145,Carlos Clerc,Defender,,Carlos,Clerc,19,1846,23,23,20,3,1,2,18,14,7,2,2,,,31,2,5,26,,,,,,,,,4,2,2,1,,,720,519,201,705,506,105,333,37,245,486,120,33,81,263,87,262,168,6,53,54,6,6,,,,168,96,72,109,63,46,59,33,26,28,16,12,,41,22,96,9
Levante,855,99128,Óscar Duarte,Defender,,Óscar,Duarte,6,484,8,8,5,3,2,,1,,,,,,,13,1,1,12,,,,,,,,,2,1,1,,2,,237,196,41,225,184,11,105,53,68,170,17,26,24,160,14,36,27,,,,,2,,,,50,26,24,25,16,9,25,10,15,12,3,9,1,28,6,25,6
Levante,855,218772,Eliseo Falcón,Defender,,Eliseo,Falcón,40,74,1,1,1,,,,2,,,,,,,3,,,3,,,,,,,,,,,,,,,23,20,3,23,20,2,4,10,7,19,,1,3,14,1,6,2,,,,,,,,,5,3,2,4,2,2,1,1,,,,,,2,,2,
Levante,855,80993,Aitor Fernández,Goalkeeper,,Aitor,Fernández,13,3240,36,36,36,,,,,,1,,,,,51,3,5,46,,,,,,,,,,,,,,,912,562,350,408,246,,608,151,153,349,10,213,340,446,75,116,275,,,,,1,,,,19,15,4,5,2,3,14,13,1,1,1,,,37,2,318,
Levante,855,77039,Antonio García Aranda,Defender,Toño,Antonio,García Aranda,3,1590,20,20,18,2,3,5,22,20,16,2,2,1,,23,1,1,22,,,,,,,,,1,,1,,1,,713,566,147,688,544,96,312,43,262,533,94,33,53,325,51,258,137,17,41,41,17,11,1,,,161,84,77,127,68,59,34,16,18,26,19,7,,27,13,108,3
Levante,855,98976,Bruno González,Defender,,Bruno,González,18,635,8,8,7,1,,1,,,,,,,,9,,1,8,,,,,,,,,1,,1,,,,279,235,44,267,225,30,91,84,74,213,19,22,25,166,20,69,24,,,,,1,,,,46,27,19,28,17,11,18,10,8,13,10,3,,35,2,40,4
Levante,855,428798,Giorgi Kochorashvili,Midfielder,,Giorgi,Kochorashvili,43,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,2,,,,,,,,,,,,
Levante,855,82418,Sergio León,Forward,,Sergio,León,7,662,22,22,6,16,6,13,3,5,2,,,,,10,,2,8,1,1,,1,,,,,17,5,12,,5,,87,51,36,81,45,31,17,12,27,50,33,1,3,16,12,37,28,2,4,4,2,4,,,,68,27,41,44,16,28,24,11,13,3,3,,,2,1,12,
Levante,855,109702,Roger Martí,Forward,,Roger,Martí,9,2272,36,36,26,10,14,10,13,9,24,1,1,,2,32,1,6,26,11,11,,8,2,,4,4,44,24,20,,13,,430,282,148,422,274,102,130,99,99,269,134,13,14,91,23,192,142,1,17,17,1,10,,,,279,99,180,172,62,110,107,37,70,18,11,7,,15,6,49,
Levante,855,445998,Pablo Martínez,Midfielder,,Pablo,Martínez,36,30,5,5,,5,,,,2,,,,,,1,,,1,,,,,,,,,,,,,1,1,18,14,4,16,13,2,9,4,3,14,2,,2,8,1,6,3,,,,,,1,,,10,3,7,9,3,6,1,,1,2,,2,,2,,7,
Levante,855,199248,Borja Mayoral,Forward,,Borja,Mayoral,21,2145,34,34,24,10,17,14,27,19,22,2,2,1,2,32,2,2,30,8,7,1,6,2,,,,32,20,12,,15,,552,438,114,530,417,187,102,105,158,415,101,23,13,138,32,303,98,3,16,16,3,12,,,,243,98,145,152,64,88,91,34,57,12,3,9,,6,4,63,
Levante,855,195457,Gonzalo Melero,Midfielder,,Gonzalo,Melero,22,1239,25,25,14,11,12,3,11,5,10,1,1,,2,17,1,2,15,2,2,,1,,1,1,1,13,8,5,,5,,556,457,99,544,445,103,184,126,143,440,83,17,16,243,37,215,63,1,1,1,1,6,,,,194,87,107,124,56,68,70,31,39,20,13,7,,14,9,74,3
Levante,855,89334,Jorge Miramón,Defender,,Jorge,Miramón,20,2429,32,32,27,5,2,,19,13,22,3,2,,,38,3,6,32,,,,,,,,,9,3,6,,1,,958,751,207,945,738,116,416,390,36,692,123,59,84,441,81,328,182,18,56,56,18,16,,,,209,120,89,148,88,60,61,32,29,52,27,25,,47,46,169,8
Levante,855,459601,Joan Monterde,Forward,,Joan,Monterde,0,8,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,7,,7,7,5,1,,1,7,,,,5,,2,,,,,,,,,,6,2,4,3,2,1,3,,3,,,,,,,1,
Levante,855,165375,José Luis Morales,Midfielder,,José Luis,Morales,11,2529,38,38,29,9,18,15,39,49,32,2,1,,6,38,3,3,35,4,4,,3,1,,,,32,15,17,1,9,,598,413,185,591,406,113,180,141,164,391,157,22,28,147,43,282,195,14,51,53,16,42,4,2,1,239,84,155,204,71,133,35,13,22,17,8,9,,4,6,101,1
Levante,855,116206,Rúben Miguel Nunes Vezo,Defender,Rúben Vezo,Rúben Miguel,Nunes Vezo,14,2610,29,29,29,,,1,7,1,3,,,,1,38,3,6,32,1,1,,1,,,,,10,3,7,,2,,1199,968,231,1111,890,47,534,318,300,850,125,118,106,690,104,278,129,,2,2,,1,,,,243,157,86,116,72,44,127,85,42,41,24,17,1,140,42,121,29
Levante,855,434701,Gonzalo Pereira,Defender,,Gonzalo,Pereira,29,13,1,1,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,6,6,,6,6,,1,3,2,6,,,,4,,2,,,,,,,,,,1,1,,1,1,,,,,1,,1,,,,,
Levante,855,90400,Sergio Postigo,Defender,,Sergio,Postigo,15,2376,28,28,27,1,2,2,8,5,9,1,,,2,34,2,3,31,1,1,,1,,,,,4,3,1,,2,,1024,837,187,971,790,58,447,294,225,754,85,83,102,571,74,266,115,,2,2,,2,,,,159,87,72,86,52,34,73,35,38,32,15,17,,124,35,144,15
Levante,855,100263,Nemanja Radoja,Midfielder,,Nemanja,Radoja,5,1993,26,26,22,4,5,2,29,9,5,,,,,33,2,4,29,1,1,,,1,,,,1,1,,,,,975,834,141,965,824,169,290,254,262,773,102,61,39,479,59,357,85,2,3,3,2,1,,,,247,131,116,174,87,87,73,44,29,43,19,24,,20,23,151,4
Levante,855,86168,Rubén Rochina,Midfielder,,Rubén,Rochina,16,1884,28,28,22,6,17,2,50,27,23,4,2,,6,31,2,4,27,4,2,2,,4,,,,39,13,26,,21,4,878,668,210,824,616,189,299,261,129,576,130,92,80,280,54,402,211,8,24,55,14,16,27,5,17,305,158,147,266,137,129,39,21,18,41,26,15,,18,12,142,
Levante,855,182617,Jorge Ruiz Ojeda,Goalkeeper,Koke Vegas,Jorge,Ruiz Ojeda,1,180,2,2,2,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,49,31,18,17,9,,36,9,4,19,,12,18,24,3,7,15,,,,,,,,,3,2,1,3,2,1,,,,,,,,3,,21,
Levante,855,160607,Hernâni Jorge Santos Fortes,Forward,Hernâni,Hernâni Jorge,Santos Fortes,8,643,20,20,5,15,3,5,7,12,11,,,,,9,,1,8,2,2,,1,1,,,,20,10,10,,2,,118,76,42,115,73,38,30,30,20,69,35,7,7,35,17,50,63,9,33,38,9,8,4,,1,64,30,34,52,27,25,12,3,9,5,2,3,,5,4,37,
Levante,855,220093,Roberto Suárez Pier,Defender,Rober Pier,Roberto,Suárez Pier,4,189,4,4,2,2,,,1,,,,,,,4,,1,3,,,,,,,,,,,,,,,95,81,14,91,77,4,41,27,23,73,6,8,8,59,8,22,6,,,,,,,,,13,9,4,5,4,1,8,5,3,3,1,2,,2,3,10,
Levante,855,96093,Nikola Vukcevic,Midfielder,,Nikola,Vukcevic,17,1573,30,30,20,10,15,,9,1,5,2,1,,4,28,2,4,24,,,,,,,,,2,1,1,,2,,649,572,77,635,558,96,163,190,200,539,53,33,24,349,31,223,48,,2,2,,2,,,,197,95,102,148,76,72,49,19,30,41,26,15,,16,12,67,7
Eibar,953,87026,Anaitz Arbilla,Defender,,Anaitz,Arbilla,23,2007,24,24,22,2,2,,9,4,6,,,,,39,4,3,36,1,,1,,1,,,,11,2,9,,3,3,1086,789,297,1034,757,71,445,289,281,648,137,141,160,408,86,386,236,5,24,25,5,4,,,,193,110,83,101,54,47,92,56,36,33,20,13,1,75,28,174,4
Eibar,953,434631,Miguel Ángel Atienza,Midfielder,,Miguel Ángel,Atienza,33,28,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,14,9,5,14,9,3,2,5,4,8,4,1,1,5,,4,5,,,,,,,,,8,4,4,4,2,2,4,2,2,1,1,,,1,2,2,1
Eibar,953,91393,Pedro Bigas,Defender,,Pedro,Bigas,3,1778,23,23,21,2,5,2,,1,2,,,,,21,3,5,16,3,3,,,,2,,,7,5,2,1,1,,685,464,221,664,450,59,333,118,175,386,92,78,129,290,58,176,170,2,7,7,2,1,,,,161,102,59,52,35,17,109,67,42,18,9,9,,76,36,87,10
Eibar,953,169873,Esteban Burgos,Defender,,Esteban,Burgos,2,1115,15,15,11,4,,,4,1,1,,,,,16,,2,14,1,1,,1,,,,,2,1,1,,1,,390,244,146,367,233,23,209,103,55,187,40,57,106,147,39,97,108,,1,1,,2,,,,75,49,26,31,19,12,44,30,14,11,9,2,,65,17,57,6
Eibar,953,109262,Roberto Antonio Correa Silva,Defender,Rober Correa,Roberto Antonio,Correa Silva,20,932,12,12,11,1,4,,5,2,5,,,,,17,2,2,15,,,,,,,,,4,1,3,,1,,358,263,95,350,256,61,170,104,23,243,69,20,26,102,26,169,94,8,25,25,8,6,,,,108,57,51,51,28,23,57,29,28,13,6,7,,25,16,47,4
Eibar,953,151978,Sebastián Cristóforo,Midfielder,,Sebastián,Cristóforo,18,873,18,18,9,9,5,2,9,7,8,,,,,12,,2,10,,,,,,,,,5,3,2,,2,2,281,213,68,280,212,38,96,85,62,197,48,16,20,67,11,149,72,2,6,15,3,4,9,1,8,151,77,74,124,67,57,27,10,17,35,19,16,,,8,58,3
Eibar,953,126510,Pablo De Blasis,Midfielder,,Pablo,De Blasis,16,1594,30,30,15,15,1,1,12,10,17,3,2,,2,31,2,5,26,2,1,1,2,,,1,1,13,6,7,,2,1,742,527,215,710,500,139,314,207,82,458,141,69,74,179,36,368,244,18,59,65,20,9,8,1,6,207,89,118,138,65,73,69,24,45,41,32,9,,19,24,116,
Eibar,953,86349,Charles Dias de Oliveira,Forward,Charles,Charles,Dias de Oliveira,19,1294,30,30,13,17,10,7,1,5,11,,,,,24,,4,20,6,6,,2,,4,1,2,19,11,8,,6,,338,227,111,313,202,91,83,89,75,224,108,3,3,78,21,150,91,1,1,1,1,8,,,,250,97,153,100,32,68,150,65,85,10,5,5,,6,7,34,2
Eibar,953,27672,Pape Diop,Midfielder,,Pape,Diop,8,2257,30,30,25,5,8,1,4,8,15,,,,2,42,2,5,37,1,1,,1,,,,,18,6,12,,9,,776,563,213,759,547,104,287,212,173,513,156,50,57,234,41,330,179,1,7,7,1,9,,,,285,139,146,168,72,96,117,67,50,39,26,13,,34,34,141,7
Eibar,953,94618,Marko Dmitrovic,Goalkeeper,,Marko,Dmitrovic,1,3150,35,35,35,,,,1,,1,,,,,51,4,6,45,,,,,,,,,1,1,,,,,971,397,574,421,197,,862,55,54,114,2,283,572,147,51,250,523,,,,,3,,,,20,17,3,8,5,3,12,12,,3,2,1,1,37,3,331,
Eibar,953,80791,Sergi Enrich,Forward,,Sergi,Enrich,9,1872,30,30,21,9,14,17,9,4,7,4,3,,1,28,3,5,23,1,1,,1,,,,,22,7,15,1,6,,530,369,161,503,342,150,127,122,131,356,154,13,7,122,23,247,146,,8,8,,7,,,,434,161,273,139,46,93,295,115,180,17,6,11,,11,9,71,2
Eibar,953,156305,Gonzalo Escalante,Midfielder,,Gonzalo,Escalante,5,1671,23,23,18,5,3,2,16,6,8,1,1,,,31,4,3,28,,,,,,,,,19,5,14,,2,,634,436,198,627,430,79,253,156,146,407,158,29,40,150,45,289,166,3,12,13,3,4,1,,1,271,144,127,145,82,63,126,62,64,41,22,19,,14,30,105,4
Eibar,953,420909,Eduardo Expósito,Midfielder,Edu Expósito,Eduardo,Expósito,10,2310,35,35,24,11,5,,20,10,19,1,1,,1,34,2,4,30,4,3,1,4,,,1,2,27,17,10,1,7,,906,738,168,890,722,129,260,250,267,670,128,68,40,280,42,462,141,4,15,15,4,8,,,,286,132,154,181,89,92,105,43,62,52,28,24,,18,31,191,6
Eibar,953,61597,Enrique García Martínez,Forward,Kike García,Enrique,García Martínez,17,1771,27,27,20,7,14,14,8,14,10,1,1,,,27,4,4,23,5,5,,2,1,2,,,45,18,27,3,14,,483,314,169,463,294,141,132,96,114,308,159,6,10,73,25,242,159,1,15,15,1,14,,,,426,162,264,136,48,88,290,114,176,13,7,6,,8,1,56,1
Eibar,953,56271,Enrique González Casín,Forward,Quique González,Enrique,González Casín,7,482,15,15,4,11,2,3,5,3,5,1,1,,,8,,1,7,,,,,,,,,9,1,8,1,1,,122,81,41,114,73,40,39,28,15,78,39,3,2,28,4,54,39,1,2,2,1,,,,,101,50,51,32,18,14,69,32,37,3,2,1,,3,,15,
Eibar,953,103263,Takashi Inui,Midfielder,,Takashi,Inui,22,1965,29,29,23,6,10,4,22,22,16,3,2,,2,31,3,3,28,2,2,,1,1,,,,28,12,16,,12,,521,407,114,516,402,169,109,52,191,396,98,11,16,125,24,285,133,3,42,43,3,19,1,,1,211,80,131,167,66,101,44,14,30,20,10,10,,10,18,107,4
Eibar,953,42839,Pedro León,Midfielder,,Pedro,León,21,1903,31,31,23,8,18,10,19,12,39,2,2,,,28,1,4,24,1,1,,1,,,,,29,14,15,2,9,6,503,337,166,487,327,146,163,134,60,319,131,18,35,98,23,287,285,18,76,142,48,27,82,24,53,221,98,123,140,64,76,81,34,47,28,20,8,,5,19,73,1
Eibar,953,442156,Miguel Marí,Midfielder,,Miguel,Marí,27,6,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,,1,,,,1,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,1,
Eibar,953,48854,Fabián Orellana,Midfielder,,Fabián,Orellana,14,2396,29,29,28,1,8,9,69,69,41,7,7,,1,46,4,5,41,8,7,1,7,,1,4,5,33,20,13,1,9,1,884,680,204,855,656,250,208,194,232,638,177,42,27,175,26,543,270,13,48,92,38,30,76,24,41,432,167,265,365,150,215,67,17,50,29,18,11,,1,20,145,
Eibar,953,17906,Iván Ramis,Defender,,Iván,Ramis,4,458,7,7,6,1,3,,3,,1,,,,1,12,,1,11,1,1,,,,1,,,4,2,2,,,,222,174,48,210,169,11,85,55,71,155,21,19,27,109,13,65,36,,1,1,,,,,,50,32,18,18,11,7,32,21,11,3,2,1,,23,4,34,
Eibar,953,87499,Paulo André Rodrigues de Oliveira,Defender,Paulo Oliveira,Paulo André,Rodrigues de Oliveira,12,2089,26,26,23,3,1,,3,1,2,,,,,31,1,4,27,1,1,,1,,,,,9,4,5,,3,,837,554,283,808,534,39,406,223,169,451,117,103,166,332,75,223,209,1,1,1,1,3,,,,218,136,82,80,49,31,138,87,51,31,19,12,,99,43,97,13
Eibar,953,76510,Yoel Rodríguez,Goalkeeper,,Yoel,Rodríguez,13,270,3,3,3,,,,,,,,,,,5,,1,4,,,,,,,,,,,,,,,86,39,47,34,18,,76,4,6,6,,33,47,13,7,26,40,,,,,,,,,2,1,1,1,,1,1,1,,,,,,3,1,27,
Eibar,953,165800,Luis Rafael Soares Alves,Defender,Rafa Soares,Luis Rafael,Soares Alves,11,437,6,6,6,,3,,,2,7,,,,,6,,,6,,,,,,,,,,,,,,,135,96,39,133,94,28,70,6,31,82,20,14,19,37,9,66,51,6,14,21,7,2,7,1,6,42,15,27,27,8,19,15,7,8,6,5,1,,4,2,30,
Eibar,953,199244,Álvaro Tejero,Defender,,Álvaro,Tejero,24,1449,18,18,16,2,3,1,6,8,17,,,,,19,,1,18,,,,,,,,,4,1,3,,2,,538,394,144,525,384,87,252,147,52,355,73,39,71,155,40,259,159,20,55,55,20,10,,,,139,73,66,89,51,38,50,22,28,30,18,12,,30,28,91,4
Eibar,953,59140,José Ángel Valdés Díaz,Defender,Cote,José Ángel,Valdés Díaz,15,2361,28,28,27,1,3,,27,8,26,1,1,1,,37,4,6,31,1,,1,,1,,,,18,7,11,1,6,8,1025,717,308,984,685,126,552,57,290,627,157,90,151,267,88,489,329,30,93,109,39,18,5,1,3,227,144,83,147,93,54,80,51,29,54,31,23,,54,33,180,7
Eibar,953,83578,Sergio Álvarez,Midfielder,,Sergio,Álvarez,6,1149,18,18,14,4,6,,8,1,5,,,,,20,1,1,19,,,,,,,,,3,,3,,1,,433,306,127,426,303,54,165,107,107,269,73,37,54,125,41,181,88,,2,2,,1,,,,156,76,80,97,52,45,59,24,35,37,22,15,,24,17,70,2
Leganés,957,128348,Ibrahim Amadou,Midfielder,,Ibrahim,Amadou,23,772,10,10,9,1,4,,4,2,2,,,,1,10,1,2,8,,,,,,,,,3,1,2,1,2,,274,221,53,273,220,33,76,82,83,213,47,8,6,112,10,109,48,,5,5,,1,,,,86,45,41,51,24,27,35,21,14,16,9,7,,6,12,42,
Leganés,957,219173,José Arnáiz,Forward,,José,Arnáiz,10,1119,26,26,10,16,7,6,14,16,14,1,1,,,15,,2,13,2,2,,1,,1,,,22,10,12,,9,,248,196,52,236,184,76,55,63,54,189,49,7,3,58,6,144,59,4,10,13,6,17,5,1,3,154,54,100,120,43,77,34,11,23,6,2,4,,5,7,52,
Leganés,957,201865,Roger Assalé,Forward,,Roger,Assalé,20,524,14,14,2,12,2,7,11,6,5,1,1,,2,6,1,1,5,2,2,,1,1,,,,9,6,3,,2,,116,96,20,115,95,29,24,25,38,92,18,4,2,15,2,83,22,2,4,4,2,3,,,,65,28,37,51,25,26,14,3,11,3,2,1,,1,,16,
Leganés,957,468459,Javier Avilés,Forward,,Javier,Avilés,33,179,9,9,1,8,1,2,4,4,4,1,1,,,3,,1,2,1,,1,1,,,,,5,2,3,,,,52,41,11,52,41,12,12,23,5,40,10,1,1,12,2,35,20,6,11,11,6,3,,,,37,17,20,31,15,16,6,2,4,9,7,2,,1,3,12,
Leganés,957,222874,Chidozie Awaziem,Defender,,Chidozie,Awaziem,12,1993,26,26,21,5,2,2,6,2,5,,,,2,31,5,5,26,,,,,,,,,6,,6,1,5,,748,558,190,707,528,63,371,225,89,496,88,62,102,339,64,221,132,2,6,6,2,1,,,,189,96,93,89,52,37,100,44,56,34,22,12,,71,28,105,15
Leganés,957,68690,Martin Braithwaite,Forward,,Martin,Braithwaite,7,2337,35,35,25,10,7,10,43,19,15,2,1,,,35,3,4,31,7,6,1,4,3,,,1,44,26,18,1,11,1,487,344,143,483,340,135,116,88,148,336,134,8,9,75,27,269,130,,14,14,,16,,,,330,151,179,192,95,97,138,56,82,15,9,6,,9,5,66,2
Leganés,957,112540,Unai Bustinza,Defender,,Unai,Bustinza,3,2690,33,33,31,2,9,3,8,9,15,1,,,1,41,6,5,36,,,,,,,,,6,3,3,,,,1146,792,354,1092,752,90,570,328,158,706,198,86,156,431,117,368,276,7,38,39,7,5,,,,351,209,142,198,123,75,153,86,67,66,40,26,,75,65,124,9
Leganés,957,98914,Guido Carrillo,Forward,,Guido,Carrillo,18,1209,24,24,13,11,5,4,4,4,9,2,1,,,18,3,2,16,1,1,,,,1,,,30,14,16,1,7,,355,225,130,347,217,94,98,82,81,223,124,2,6,55,10,170,123,,3,3,,4,,,,309,167,142,89,38,51,220,129,91,13,10,3,,21,3,28,1
Leganés,957,16261,Iván Cuéllar,Goalkeeper,,Iván,Cuéllar,1,2429,27,27,27,,,,,,,,,,,33,1,3,30,,,,,,,,,,,,,,,715,314,401,271,138,,624,53,38,85,3,229,398,128,32,186,369,,,,,1,,,,15,13,2,3,1,2,12,12,,,,,,45,,269,
Leganés,957,234991,Youssef En-Nesyri,Forward,,Youssef,En-Nesyri,26,2173,36,36,22,14,7,29,21,27,10,2,1,,,36,5,4,32,8,7,1,,7,1,,,52,25,27,2,9,,401,239,162,380,218,123,84,96,98,231,152,8,10,85,22,158,151,4,11,11,4,11,,,,422,170,252,167,61,106,255,109,146,15,12,3,,28,10,54,5
Leganés,957,90483,Javier Eraso,Midfielder,,Javier,Eraso,17,815,20,20,11,9,10,3,1,7,8,,,,,11,,1,10,,,,,,,,,8,3,5,,1,1,246,197,49,235,187,72,58,68,48,191,43,6,6,66,14,142,58,7,7,23,11,3,17,2,13,116,39,77,76,27,49,40,12,28,11,5,6,,3,7,40,
Leganés,957,91338,José Luis García del Pozo,Midfielder,Recio,José Luis,García del Pozo,8,1572,25,25,18,7,8,1,14,5,10,,,,,23,4,5,18,,,,,,,,,12,8,4,,12,1,833,729,104,800,703,126,233,222,252,689,79,40,25,309,34,424,88,3,15,18,4,9,4,1,2,202,93,109,182,87,95,20,6,14,30,19,11,,9,23,106,3
Leganés,957,508482,Manuel Garrido,Forward,,Manuel,Garrido,39,115,4,4,2,2,2,,1,,,,,,1,2,,,2,,,,,,,,,1,1,,,,,28,18,10,27,17,11,7,4,6,17,9,1,1,6,,12,10,,,,,,,,,24,9,15,10,1,9,14,8,6,,,,,,1,2,1
Leganés,957,436234,Bryan Gil,Forward,,Bryan,Gil,26,617,14,14,4,10,3,4,14,14,12,,,,1,6,,1,5,1,1,,,1,,,,9,4,5,,5,,206,151,55,201,149,57,48,34,67,150,45,1,10,51,10,107,71,5,22,26,7,3,8,2,4,95,37,58,84,35,49,11,2,9,9,5,4,,,3,44,
Leganés,957,86137,Miguel Ángel Guerrero,Forward,,Miguel Ángel,Guerrero,9,793,13,13,9,4,6,3,8,3,8,,,,1,11,1,1,10,1,1,,1,,,,1,13,6,7,2,1,,189,145,44,174,130,49,40,53,47,144,42,1,2,51,9,94,39,,4,4,,1,,,,122,40,82,55,17,38,67,23,44,1,,1,,4,2,13,
Leganés,957,197332,Sabin Merino,Forward,,Sabin,Merino,9,78,2,2,1,1,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,21,15,6,21,15,6,6,2,7,15,4,,2,2,2,13,4,,,,,1,,,,8,2,6,2,1,1,6,1,5,,,,,,,1,
Leganés,957,106899,Roque Mesa,Midfielder,,Roque,Mesa,6,2016,29,29,22,7,13,1,41,24,26,3,1,,3,32,2,3,29,1,1,,,1,,,,23,10,13,1,4,1,822,692,130,793,665,113,254,232,223,643,95,49,35,227,20,479,152,6,29,42,14,10,21,7,10,295,143,152,253,132,121,42,11,31,40,21,19,,4,11,156,4
Leganés,957,220166,Marc Navarro,Defender,,Marc,Navarro,2,219,4,4,3,1,2,,1,1,1,,,,,4,1,1,3,,,,,,,,,2,,2,,3,,58,39,19,58,39,16,24,18,,39,13,,6,21,4,18,22,,7,7,,5,,,,22,7,15,12,4,8,10,3,7,3,3,,,3,,5,1
